[2025-11-24 19:45:12.207] [INFO] EffectsManager 初始化成功
[2025-11-24 19:45:12.220] [INFO] 应用程序启动
[2025-11-24 19:45:12.865] [INFO] MainWindow 已加载
[2025-11-24 19:45:47.410] [INFO] 开始读取点云文件: D:\dainyun\street_scene_nav.ply
[2025-11-24 19:45:47.783] [INFO] 点云加载完成: 99240 点
[2025-11-24 19:45:47.847] [INFO] 几何体更新完成: 99240 点, 99240 颜色
[2025-11-24 19:45:47.851] [INFO] 初始化相机: BBox Size=59.80, Distance=89.70
[2025-11-24 19:45:49.293] [INFO] 相机同步: Distance 被外部修改为 90.97
[2025-11-24 19:45:49.299] [INFO] 相机同步: Distance 被外部修改为 92.79
[2025-11-24 19:45:49.310] [INFO] 相机同步: Distance 被外部修改为 93.16
[2025-11-24 19:45:49.322] [INFO] 相机同步: Distance 被外部修改为 94.96
[2025-11-24 19:45:49.328] [INFO] 相机同步: Distance 被外部修改为 96.65
[2025-11-24 19:45:49.340] [INFO] 相机同步: Distance 被外部修改为 97.43
[2025-11-24 19:45:49.345] [INFO] 相机同步: Distance 被外部修改为 99.10
[2025-11-24 19:45:49.357] [INFO] 相机同步: Distance 被外部修改为 99.94
[2025-11-24 19:45:49.364] [INFO] 相机同步: Distance 被外部修改为 102.60
[2025-11-24 19:45:49.370] [INFO] 相机同步: Distance 被外部修改为 103.87
[2025-11-24 19:45:49.375] [INFO] 相机同步: Distance 被外部修改为 105.14
[2025-11-24 19:45:49.388] [INFO] 相机同步: Distance 被外部修改为 106.40
[2025-11-24 19:45:49.394] [INFO] 相机同步: Distance 被外部修改为 109.24
[2025-11-24 19:45:49.400] [INFO] 相机同步: Distance 被外部修改为 110.38
[2025-11-24 19:45:49.406] [INFO] 相机同步: Distance 被外部修改为 111.67
[2025-11-24 19:45:49.412] [INFO] 相机同步: Distance 被外部修改为 112.92
[2025-11-24 19:45:49.418] [INFO] 相机同步: Distance 被外部修改为 114.14
[2025-11-24 19:45:49.430] [INFO] 相机同步: Distance 被外部修改为 115.40
[2025-11-24 19:45:49.436] [INFO] 相机同步: Distance 被外部修改为 117.90
[2025-11-24 19:45:49.442] [INFO] 相机同步: Distance 被外部修改为 119.09
[2025-11-24 19:45:49.448] [INFO] 相机同步: Distance 被外部修改为 120.31
[2025-11-24 19:45:49.455] [INFO] 相机同步: Distance 被外部修改为 121.44
